Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",140.225000,-87.700000,180.000000,bottom
"C2","1uF","C_0603_1608Metric",144.575000,-87.700000,180.000000,bottom
"C3","0.1uF","C_0603_1608Metric",150.500000,-100.475000,90.000000,bottom
"C4","4.7uF","C_0603_1608Metric",148.600000,-100.475000,90.000000,bottom
"C5","TBD","C_1206_3216Metric",145.300000,-81.825000,90.000000,bottom
"F1","Polyfuse","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",143.125000,-100.500000,0.000000,bottom
"J1","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal",133.400000,-96.080000,90.000000,bottom
"J2","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",154.360000,-102.800000,-90.000000,bottom
"Q1","NMOS","SuperSOT-3",150.200000,-86.100000,180.000000,bottom
"R1","5k1","R_0603_1608Metric",136.325000,-89.000000,180.000000,bottom
"R2","5k1","R_0603_1608Metric",136.325000,-103.300000,180.000000,bottom
"R3","10k","R_0603_1608Metric",149.225000,-83.000000,180.000000,bottom
"R4","10k","R_0603_1608Metric",150.600000,-95.875000,-90.000000,bottom
"U1","MCP1703Ax-500xxDB","SOT-223-3_TabPin2",143.400000,-93.350000,-90.000000,bottom
"U2","ATtiny85-20S","SOIC-8W_5.3x5.3mm_P1.27mm",154.500000,-95.900000,-90.000000,bottom
